Date,time_period_end,time_open,time_close,Open,High,Low,Close,Volume,trades_count
2017-05-29T08:45:00.0000000Z,2017-05-29T09:00:00.0000000Z,2017-05-29T08:45:02.0000000Z,2017-05-29T08:59:56.0000000Z,266652.0,267500.0,266013.0,266333.0,167.13252701,1033
2017-05-29T09:00:00.0000000Z,2017-05-29T09:15:00.0000000Z,2017-05-29T09:00:01.0000000Z,2017-05-29T09:14:59.0000000Z,266319.0,267227.0,266000.0,267114.0,93.18732615,888
2017-05-29T09:15:00.0000000Z,2017-05-29T09:30:00.0000000Z,2017-05-29T09:15:06.0000000Z,2017-05-29T09:29:59.0000000Z,267195.0,269395.0,267013.0,268459.0,184.51646228,1227
2017-05-29T09:30:00.0000000Z,2017-05-29T09:45:00.0000000Z,2017-05-29T09:30:01.0000000Z,2017-05-29T09:44:59.0000000Z,268045.0,268586.0,266000.0,267044.0,156.32010093,1115
2017-05-29T09:45:00.0000000Z,2017-05-29T10:00:00.0000000Z,2017-05-29T09:45:01.0000000Z,2017-05-29T09:59:59.0000000Z,267189.0,268364.0,266616.0,266949.0,87.96918501,958
2017-05-29T10:00:00.0000000Z,2017-05-29T10:15:00.0000000Z,2017-05-29T10:00:03.0000000Z,2017-05-29T10:14:59.0000000Z,266947.0,267464.0,266517.0,267049.0,120.78261018,973
2017-05-29T10:15:00.0000000Z,2017-05-29T10:30:00.0000000Z,2017-05-29T10:15:00.0000000Z,2017-05-29T10:29:59.0000000Z,267017.0,267419.0,266130.0,266843.0,149.11722513,1212
2017-05-29T10:30:00.0000000Z,2017-05-29T10:45:00.0000000Z,2017-05-29T10:30:00.0000000Z,2017-05-29T10:44:57.0000000Z,266989.0,267396.0,266000.0,266214.0,188.50277432,1324
2017-05-29T10:45:00.0000000Z,2017-05-29T11:00:00.0000000Z,2017-05-29T10:45:01.0000000Z,2017-05-29T10:59:59.0000000Z,266342.0,267000.0,265900.0,266718.0,134.90653361,1141
2017-05-29T11:00:00.0000000Z,2017-05-29T11:15:00.0000000Z,2017-05-29T11:00:01.0000000Z,2017-05-29T11:14:53.0000000Z,266701.0,267403.0,266150.0,266775.0,64.90380235,886
2017-05-29T11:15:00.0000000Z,2017-05-29T11:30:00.0000000Z,2017-05-29T11:15:00.0000000Z,2017-05-29T11:29:59.0000000Z,266778.0,267000.0,265500.0,266250.0,111.74948178,1236
2017-05-29T11:30:00.0000000Z,2017-05-29T11:45:00.0000000Z,2017-05-29T11:30:00.0000000Z,2017-05-29T11:44:59.0000000Z,266226.0,266275.0,264500.0,264753.0,71.20160926,1405
2017-05-29T11:45:00.0000000Z,2017-05-29T12:00:00.0000000Z,2017-05-29T11:45:00.0000000Z,2017-05-29T11:59:58.0000000Z,264999.0,266450.0,264504.0,265594.0,101.00313921,1725
2017-05-29T12:00:00.0000000Z,2017-05-29T12:15:00.0000000Z,2017-05-29T12:00:02.0000000Z,2017-05-29T12:14:59.0000000Z,265762.0,266100.0,264400.0,265400.0,101.87174257,2041
