Close,High,Low,Open,time_close,time_open,time_period_end,Date,trades_count,Volume
1136057.0,1136057.0,1133759.0,1133819.0,2020-09-29T10:14:54.5350000Z,2020-09-29T10:00:02.5510000Z,2020-09-29T10:15:00.0000000Z,2020-09-29T10:00:00.0000000Z,118,2.9614
1137942.0,1137959.0,1136057.0,1136057.0,2020-09-29T10:29:58.8960000Z,2020-09-29T10:15:02.2070000Z,2020-09-29T10:30:00.0000000Z,2020-09-29T10:15:00.0000000Z,66,1.9361
1137981.0,1140001.0,1137755.0,1137960.0,2020-09-29T10:44:59.2710000Z,2020-09-29T10:30:02.3220000Z,2020-09-29T10:45:00.0000000Z,2020-09-29T10:30:00.0000000Z,139,8.7456
1140172.0,1140500.0,1137861.0,1137981.0,2020-09-29T10:59:53.0570000Z,2020-09-29T10:45:01.9910000Z,2020-09-29T11:00:00.0000000Z,2020-09-29T10:45:00.0000000Z,132,11.6556
1140507.0,1141054.0,1139682.0,1140173.0,2020-09-29T11:14:40.7840000Z,2020-09-29T11:00:02.1110000Z,2020-09-29T11:15:00.0000000Z,2020-09-29T11:00:00.0000000Z,174,9.8801
1139998.0,1140510.0,1139277.0,1140510.0,2020-09-29T11:29:43.0640000Z,2020-09-29T11:15:02.7010000Z,2020-09-29T11:30:00.0000000Z,2020-09-29T11:15:00.0000000Z,73,4.1457
1141000.0,1141000.0,1139499.0,1139999.0,2020-09-29T11:44:29.1660000Z,2020-09-29T11:30:02.7480000Z,2020-09-29T11:45:00.0000000Z,2020-09-29T11:30:00.0000000Z,121,9.3531
1139157.0,1141500.0,1139005.0,1141000.0,2020-09-29T11:59:57.4630000Z,2020-09-29T11:45:02.8210000Z,2020-09-29T12:00:00.0000000Z,2020-09-29T11:45:00.0000000Z,165,5.6126
1137793.0,1140000.0,1137793.0,1139105.0,2020-09-29T12:10:28.4550000Z,2020-09-29T12:00:02.8670000Z,2020-09-29T12:15:00.0000000Z,2020-09-29T12:00:00.0000000Z,119,5.3059
1138000.0,1138554.0,1137034.0,1138263.0,2020-09-29T12:29:23.4100000Z,2020-09-29T12:15:02.5270000Z,2020-09-29T12:30:00.0000000Z,2020-09-29T12:15:00.0000000Z,108,5.8279
1137796.0,1138500.0,1137796.0,1138000.0,2020-09-29T12:44:58.3620000Z,2020-09-29T12:30:02.6470000Z,2020-09-29T12:45:00.0000000Z,2020-09-29T12:30:00.0000000Z,91,4.2089
1138538.0,1138538.0,1137560.0,1137797.0,2020-09-29T12:57:51.9850000Z,2020-09-29T12:45:02.2710000Z,2020-09-29T13:00:00.0000000Z,2020-09-29T12:45:00.0000000Z,54,2.4003
1136206.0,1139107.0,1136124.0,1138544.0,2020-09-29T13:14:44.3740000Z,2020-09-29T13:00:01.7540000Z,2020-09-29T13:15:00.0000000Z,2020-09-29T13:00:00.0000000Z,179,11.1943
1137053.0,1137053.0,1134447.0,1136206.0,2020-09-29T13:29:59.2020000Z,2020-09-29T13:15:02.1490000Z,2020-09-29T13:30:00.0000000Z,2020-09-29T13:15:00.0000000Z,172,8.5207
1137232.0,1138974.0,1136247.0,1137054.0,2020-09-29T13:44:56.0360000Z,2020-09-29T13:30:02.2980000Z,2020-09-29T13:45:00.0000000Z,2020-09-29T13:30:00.0000000Z,212,12.7347
1137935.0,1138000.0,1136668.0,1136975.0,2020-09-29T13:58:12.6880000Z,2020-09-29T13:45:00.6440000Z,2020-09-29T14:00:00.0000000Z,2020-09-29T13:45:00.0000000Z,69,2.3105
1140273.0,1141116.0,1137935.0,1137935.0,2020-09-29T14:14:51.6990000Z,2020-09-29T14:00:03.2380000Z,2020-09-29T14:15:00.0000000Z,2020-09-29T14:00:00.0000000Z,149,12.764
1140717.0,1141576.0,1140382.0,1140382.0,2020-09-29T14:27:06.4070000Z,2020-09-29T14:15:01.8620000Z,2020-09-29T14:30:00.0000000Z,2020-09-29T14:15:00.0000000Z,156,11.4542
1137764.0,1140718.0,1137665.0,1140718.0,2020-09-29T14:43:44.6790000Z,2020-09-29T14:30:02.0260000Z,2020-09-29T14:45:00.0000000Z,2020-09-29T14:30:00.0000000Z,93,3.2698
1139035.0,1139057.0,1136956.0,1138138.0,2020-09-29T14:59:40.4930000Z,2020-09-29T14:45:02.7160000Z,2020-09-29T15:00:00.0000000Z,2020-09-29T14:45:00.0000000Z,70,4.591
1137812.0,1139714.0,1137027.0,1139057.0,2020-09-29T15:13:00.4880000Z,2020-09-29T15:00:03.2360000Z,2020-09-29T15:15:00.0000000Z,2020-09-29T15:00:00.0000000Z,87,6.0639
1138816.0,1139520.0,1137879.0,1137879.0,2020-09-29T15:29:59.7750000Z,2020-09-29T15:16:24.1780000Z,2020-09-29T15:30:00.0000000Z,2020-09-29T15:15:00.0000000Z,20,0.6185
1138612.0,1139914.0,1138569.0,1138569.0,2020-09-29T15:44:52.3650000Z,2020-09-29T15:30:05.9580000Z,2020-09-29T15:45:00.0000000Z,2020-09-29T15:30:00.0000000Z,38,1.2871
1135494.0,1138612.0,1135494.0,1138612.0,2020-09-29T15:59:38.2910000Z,2020-09-29T15:45:08.3730000Z,2020-09-29T16:00:00.0000000Z,2020-09-29T15:45:00.0000000Z,100,4.2771
1136146.0,1136542.0,1134269.0,1135495.0,2020-09-29T16:14:50.4940000Z,2020-09-29T16:00:03.3040000Z,2020-09-29T16:15:00.0000000Z,2020-09-29T16:00:00.0000000Z,105,3.2727
1132000.0,1136555.0,1132000.0,1136550.0,2020-09-29T16:29:22.5580000Z,2020-09-29T16:15:28.0350000Z,2020-09-29T16:30:00.0000000Z,2020-09-29T16:15:00.0000000Z,127,9.1917
1131093.0,1132272.0,1130159.0,1132001.0,2020-09-29T16:44:49.9350000Z,2020-09-29T16:30:16.6160000Z,2020-09-29T16:45:00.0000000Z,2020-09-29T16:30:00.0000000Z,124,5.3422
1131542.0,1131605.0,1130723.0,1131002.0,2020-09-29T16:59:17.8940000Z,2020-09-29T16:45:33.7420000Z,2020-09-29T17:00:00.0000000Z,2020-09-29T16:45:00.0000000Z,26,1.1251
1128188.0,1131837.0,1128000.0,1131605.0,2020-09-29T17:14:52.0260000Z,2020-09-29T17:00:03.2040000Z,2020-09-29T17:15:00.0000000Z,2020-09-29T17:00:00.0000000Z,111,3.1645
1127768.0,1129055.0,1126945.0,1128187.0,2020-09-29T17:29:26.5100000Z,2020-09-29T17:15:34.0210000Z,2020-09-29T17:30:00.0000000Z,2020-09-29T17:15:00.0000000Z,138,5.5926
1129352.0,1129398.0,1127927.0,1128056.0,2020-09-29T17:44:26.9230000Z,2020-09-29T17:30:32.1210000Z,2020-09-29T17:45:00.0000000Z,2020-09-29T17:30:00.0000000Z,51,0.7442
