product_code,timestamp,tick_id,best_bid,best_ask,best_bid_size,best_ask_size,total_bid_depth,total_ask_depth,ltp,volume,volume_by_product
BTC_JPY,2020-05-29T00:00:49.263,12682665,1031890.0,1032538.0,0.00781406,0.2,1710.13059624,1934.70635398,1031890.0,120434.45791942,6149.73968205
BTC_JPY,2020-05-29T00:00:54.24,12682775,1031855.0,1032533.0,0.3031,0.30000013,1707.54820749,1927.14559411,1031854.0,120429.92169184,6150.02574186
BTC_JPY,2020-05-29T00:00:57.92,12682892,1032073.0,1032543.0,0.4013,0.003,1710.31564689,1930.71047326,1031854.0,120431.32814403,6150.02374186
BTC_JPY,2020-05-29T00:01:04.35,12683022,1032672.0,1032749.0,6e-05,0.003,1706.71544458,1929.43813161,1032672.0,120440.76334505,6149.77968286
BTC_JPY,2020-05-29T00:01:09.533,12683108,1032432.0,1032956.0,0.5451,0.0245,1706.69492901,1930.23421693,1032749.0,120436.28573187,6149.59368286
BTC_JPY,2020-05-29T00:01:14.297,12683189,1032235.0,1032955.0,0.04,0.01,1706.31982901,1930.54156312,1032235.0,120432.272702,6149.64368286
BTC_JPY,2020-05-29T00:01:19.043,12683333,1032247.0,1032956.0,0.04,0.0245,1696.81254352,1930.17059706,1032543.0,120445.91028093,6149.65368286
BTC_JPY,2020-05-29T00:01:24.737,12683437,1032452.0,1032955.0,0.32,0.01,1701.61008578,1930.25979706,1032956.0,120449.58848858,6149.66328286
BTC_JPY,2020-05-29T00:01:29.433,12683538,1032745.0,1033094.0,0.6354,0.001,1700.06896339,1929.32946774,1033000.0,120430.03892192,6149.06088486
BTC_JPY,2020-05-29T00:01:34.143,12683685,1032762.0,1033500.0,0.04,0.02,1699.73816352,1927.49938787,1033162.0,120443.91103203,6149.19188486
BTC_JPY,2020-05-29T00:01:38.983,12683829,1033672.0,1034100.0,0.5242,2.52,1698.57916352,1944.24822913,1034000.0,120457.14543347,6149.6058849
BTC_JPY,2020-05-29T00:01:44.26,12684030,1033162.0,1034079.0,0.04,0.3172,1699.77841066,1949.40350812,1033299.0,120460.90818409,6151.3358849
BTC_JPY,2020-05-29T00:01:49.413,12684226,1033177.0,1034083.0,0.15,0.46,1701.72421066,1950.50747162,1033888.0,120456.4341723,6151.2568849
BTC_JPY,2020-05-29T00:01:54.387,12684418,1033013.0,1034053.0,0.30000013,0.097,1700.89666352,1951.51596167,1033299.0,120462.59363824,6151.2568849
BTC_JPY,2020-05-29T00:01:59.233,12684632,1032563.0,1033455.0,0.3672,0.5202,1697.56446353,1952.8351633,1032882.0,120478.64650899,6150.8450849
BTC_JPY,2020-05-29T00:02:04.463,12684816,1032591.0,1033424.0,0.11,0.1536,1701.4338636,1952.64462616,1032882.0,120480.27008691,6150.8450849
BTC_JPY,2020-05-29T00:02:09.737,12685017,1032808.0,1033490.0,0.11,0.42206424,1680.3314692,1952.40442602,1033490.0,120458.2520311,6150.99762066
BTC_JPY,2020-05-29T00:02:13.7,12685132,1032904.0,1033489.0,0.11,0.1,1701.30596907,1952.7886904,1033490.0,120431.88112436,6149.06082414
BTC_JPY,2020-05-29T00:02:19.483,12685271,1033491.0,1033883.0,0.1,0.4013,1704.31953816,1956.15063611,1033895.0,120427.99245759,6148.58382414
BTC_JPY,2020-05-29T00:02:24.433,12685375,1033148.0,1033637.0,0.11,0.003,1703.71913802,1956.7982807,1033490.0,120421.30202578,6149.16294923
BTC_JPY,2020-05-29T00:05:08.89,12689140,1032270.0,1032500.0,2.11,0.349,1696.40031446,1960.62428712,1032500.0,120482.75977161,6152.45958596
BTC_JPY,2020-05-29T00:05:14.883,12689213,1032270.0,1032500.0,2.09843002,0.269984,1696.98434448,1960.88104112,1032500.0,120485.07971097,6152.54017194
BTC_JPY,2020-05-29T00:05:19.017,12689240,1032270.0,1032500.0,2.09843002,0.29998400000000003,1699.92034448,1960.30104112,1032500.0,120484.30950829,6152.54017194
BTC_JPY,2020-05-29T00:05:22.63,12689259,1032270.0,1032500.0,2.09843002,0.29998400000000003,1702.48034448,1960.90104112,1032500.0,120484.48753818,6152.53017194
BTC_JPY,2020-05-29T00:05:29.407,12689308,1032271.0,1032550.0,0.5311,1.0,1701.0322852000006,1962.34097622,1032500.0,120488.2192139,6152.83015594
BTC_JPY,2020-05-29T00:05:33.85,12689381,1032272.0,1032620.0,0.5985,1.0,1704.91866238,1960.50455503,1032500.0,120493.14789193,6155.78795593
BTC_JPY,2020-05-29T00:05:39.037,12689495,1032271.0,1032905.0,0.1,0.32,1703.74419344,1960.48979609,1032500.0,120511.51456939,6155.78795593
BTC_JPY,2020-05-29T00:05:44.423,12689594,1032270.0,1032499.0,0.32578651,0.2731,1702.64822918,1962.3131734,1032500.0,120514.07915929,6158.38059944
BTC_JPY,2020-05-29T00:05:49.433,12689620,1032270.0,1032499.0,0.32578651,0.2631,1702.90645006,1963.2570334000002,1032499.0,120500.96281245,6152.64622288
BTC_JPY,2020-05-29T00:05:54.653,12689783,1032121.0,1032491.0,0.023008,0.124,1695.22523841,1960.02659621,1032121.0,120527.90484467,6164.09286521
